quizzes,solutions
507108002000043100900500006070050004100002069600700380320490000001006400009070528,537168942286943157914527836873659214145832769692714385328495671751286493469371528
807000000610005430400690000002800709003007820900051046000009670054000000200403018,827314965619785432435692187142836759563947821978251346381529674754168293296473518
040000200710930000058020760300060000406800920020705800031070090007058601500100007,643587219712936458958421763385269174476813925129745836831674592297358641564192387
002834700010060005798200400903050100000009007080072060600081024051000300040000090,562834719314967285798215436973658142126349857485172963639781524251496378847523691
431800006000300010000006205609134070020000040000570089003659020500080104807000003,431825796256397418978416235689134572725968341314572689143659827592783164867241953
020000106610239040050004007003520009009400080800701400795006002200180000400000653,324857196617239548958614327143528769579463281862791435795346812236185974481972653
003000150620700009051000007180670003509003400030080201000207904000098620004510008,743869152628751349951342867182674593579123486436985271865237914317498625294516738
400053270020600803008904010145200006000048300000001090601300450000070900780000060,416853279529617843378924615145239786967548321832761594691382457254176938783495162
004030009520001300019860200402000700037006800608510020900080070073002046000000130,784235619526971384319864257452398761137426895698517423941683572873152946265749138
023000061000068007000304058058006120007090080140000509000430000064085930001072000,823957461415268397679314258958746123237591684146823579582439716764185932391672845
031020060005074003006800020700406038000095706200780901098140000500000890300000002,831529467925674183476831529759416238183295746264783951698142375512367894347958612
015040002020560098300010007200000600940001000030680704458000000090872050600430900,815947362724563198369218547287354619946721835531689724458196273193872456672435981
604302001780006300900510400003004078028000096000601004090057800000020015000403700,654372981781946352932518467163294578428735196579681234296157843347829615815463729
000048010943050700008200006050000379002400080070013040600590002109087500530060000,265748913943651728718239456451826379392475681876913245687594132129387564534162897
900003050246050700070680100000008039501200800700006001809420006002010078030000240,918743652246951783375682194624178539591234867783596421859427316462315978137869245
002078000006015908905000100400709500030054070000061204000020306008000009710800450,142978635376415928985632147421789563639254871857361294594127386268543719713896452
043020000050180070890506100400009706031000059000871000070005460002043501000600320,143927685256184973897536142428359716731462859965871234379215468682743591514698327
206597403080103000507000009000004210028006500409010060700305000001200000300480902,216597483984123756537648129673954218128736594459812367792365841841279635365481972
270600050000070406006059030040005600081000040029006173390000002000097800807140005,278634951935271486416859237743915628681723549529486173394568712152397864867142395
010907030002100004958002000600030002073060580000705069080000406304000105009210800,416957238732186954958342617695831742273469581841725369187593426324678195569214873
290041000470302050000060208039400005100000070504100603613200704000003080005900100,298541367476382951351769248739426815162835479584197623613258794947613582825974136
080623090400007000900000713006910400805000026014500007030708000500000009021460085,187623594453197862962845713376912458895374126214586937639758241548231679721469385
000050007050004020020160430941000000008746000000300508400000209705080300219030076,194253687356874921827169435941528763538746192672391548483617259765982314219435876
000457602940061300070000080100509400700086930020003007400010059006000800218300700,381457692942861375675932184163579428754286931829143567437618259596724813218395746
000720041003051890070000000730200160004109305205080009800000006090007200560904003,958723641423651897176498532739245168684179325215386479847532916391867254562914783
000230050673400800005007900310780000064009200082546009008000103000801700000600405,941238657673495821825167934319782546564319278782546319258974163436851792197623485
980046025000090700700300004008023010045070008000105006014800900506000307090002600,983746125451298763762351894678423519145679238239185476314867952526914387897532641
200000001003060008807031940002506070409800056100000380038670500705090263000004000,294785631513469728867231945382516479479823156156947382938672514745198263621354897
004206050070000306000075120002608710890000040047090000000000590056002000009307208,184236957275419386963875124532648719891723645647591832728164593356982471419357268
090604025000500904503700100002059001010000000006008437080003600400020000700000058,197684325628531974543792186372459861814367592956218437285173649469825713731946258
000750600061980004400000720259006000803000010000820075090208000010060490007340058,932754681761982534485631729259176843873495216146823975594218367318567492627349158
600000045200009803089007000001402309790300050000050080076030400520000700004086012,617823945245619873389547621851472369792368154463951287176235498528194736934786512
020980040030047601019006080700490000800023907000605000904800006001000300350014020,627981543538247691419356782763498215845123967192675438974832156281569374356714829
008060700030870012000205930000700504905004000802903070106000080009120360700000250,298361745534879612617245938361782594975614823842953176126537489459128367783496251
600300000502809070013050002700240085004007126009508000305000400170400003008090607,687321549542869371913754862731246985854937126269518734395672418176485293428193657
610030004005008703040906020009200400000403680002015070700001500003680200090070031,618732954925148763347956128839267415571493682462815379784321596153689247296574831
002080500058370100700006039005902700000000264030410000087201605901040080000090020,392184576658379142714526839845962713179853264236417958487231695921645387563798421
006037508700010900130050020002908000050020430600000090200005704003100060498600000,926437518785216943134859627342968175859721436617543892261395784573184269498672351
040038500905000000000010460001650043000700901082300050830100074276000090000960002,647238519915476238328519467791652843563784921482391756839125674276843195154967382
450000000001600790307200100000850902002169304500000080068094001070508060000010023,456971238821643795397285146634857912782169354519432687268394571173528469945716823
000004800010236700503017609300500000109420006075108002090005007002000430700680901,267954813918236745543817629326579184189423576475168392891345267652791438734682951
950000080708409056004700002010620005580300600300004090003000020097508100060130400,951263784728419356634785912419627835582391647376854291143976528297548163865132479
000600079601003240907052003200436700010008000008901502300000928060040100059000030,523614879681793245947852613295436781716528394438971562374165928862349157159287436
905032000008000006300004100080096050000108072104300900491700020020900780006043500,915632847748519236362874195287496351639158472154327968491785623523961784876243519
500480030610020009030600078790300160460057000002060400800100005000072390009004000,527489631618723549934615278795348162461257983382961457843196725156872394279534816
809400003100800700040075100007003069620000040030508200401002030203000508060089001,879421653152836794346975182517243869628197345934568217481752936293614578765389421
201008065000403790000020001790004200060701083005300000050200648040057300309800050,231978465586413792974625831793584216462791583815362974157239648648157329329846157
700900001080020060040805000090600500000179000200000370802051097064790205005008043,723946851581327964649815732497632518358179426216584379832451697164793285975268143
001900070000060320850004060900028005400070900003106807006057003070000201209813000,631982574794561328852734169917428635468375912523196847186257493375649281249813756
032064000900500007400901306000020050800710209004308000000090500507600018060280000,732864195916532487485971326671429853853716249294358671348197562527643918169285734
500301400081570000000000002300100009002090305004720000046085020090400610870000090,529361487481572936637849152368154279712698345954723861146985723295437618873216594
300590068080000290502010400410050800050326000009000070034000080801004600620007301,347592168186473295592618437413759826758326914269841573934165782871234659625987341
000004001600000230350100079015708600900030780008090102090002054000079800400510020,879324561641957238352186479215748693964231785738695142197862354523479816486513927
006030010300605000070029000020300984794000300000001005530008200069047000041200590,956734812312685479478129653125376984794852361683491725537918246269547138841263597
059000201000800090003107004290000305000080460160205080500003100400060708037400020,859346271741852693623197854298674315375981462164235987586723149412569738937418526
835020041020000039040810000086900000201004700900000286000356007090040300500007010,835729641127465839649813572386972154251684793974531286418356927792148365563297418
050007460009032007002406300760080003300091870400000015010200000506170008084005090,853917462649832157172456389761584923325691874498723615917248536536179248284365791
004930018805000000090040070302057000000100064710890005009060000431500000060489032,674935218825716943193248576342657891958123764716894325289361457431572689567489132
063204105040003092000900080530090800100060007004007300310870060270105000008002050,963284175841753692752916483537491826129368547684527319315879264276145938498632751
900860004020005000850793000570080000091407020000000350080600139006000842000230060,913862574627145983854793216572386491391457628468921357285674139736519842149238765
900260000207008005015090400700006000050010003080934071106000000320000087070420039,943265718267148395815397426731586942459712863682934571196873254324659187578421639
001000004803200009020406307016003090700001800084520700400090500050060020009780041,671938254843257169925416387516873492792641835384529716468192573157364928239785641
000079060002005703180020040029601000700250018040000300000003091390400607605080000,453879162962145783187326549829631475736254918541798326274563891398412657615987234
500700029600015840080940003002000016904000050760001200830207090090080072001030000,543768129629315847187942563352874916914623758768591234836257491495186372271439685
080290600600400039300750021070000008938040050002009007000600740050008103016020005,185293674627481539349756821471562398938147256562839417893615742254978163716324985
609203580570000004040010090800006400000300050000079103021090700030480905000702600,619243587572968314348517296893156472167324859254879163421695738736481925985732641
070000000950002800010890034007000198400369500002070600008036057000021000065407010,874613925953742861216895734637254198481369572592178643128936457749521386365487219
009586400027900500006004100940301020003065090070000800061200007500630080000009350,139586472427913568856724139948371625213865794675492813361258947594637281782149356
008602000001700430470005000000451003302000008060000970200094610600507082713000090,938642751521789436476135829897451263352976148164823975285394617649517382713268594
005960070400031020106705008900408060002013800058000000200096007007020615003000004,385962471479831526126745938931458762742613859658279143214596387897324615563187294
780010300000960500005002640007300064401000002800001730092750008350000970100604000,786415329243967581915832647527389164431576892869241735692753418354128976178694253
050107800041000000690040503300802090904015030760030105000000749170006000008050020,253197864841563972697248513315872496984615237762934185526381749179426358438759621
370401002000087500001593406080100009016000300700920010009050640250008090400300007,375461982694287531821593476582134769916875324743926815139752648257648193468319257
006439008005000200090580076000245100018007000300000907902000730087600450040901002,726439518835716294491582376679245183218397645354168927962854731187623459543971862
820090304005020091070035800600007028904060000007009005030001000090240076006050210,821796354365824791479135862653417928984562137217389645532671489198243576746958213
029000580600320407100800000000060301071004060000230090004650009783010005590000072,429176583658329417137845926942768351371594268865231794214657839783912645596483172
000000200007456000301007000980010063000305940402700080008000007600091520204600890,549138276827456319361927458985214763716385942432769185198542637673891524254673891
100008500000307089700600200090050103420060970350200040002000008000409610600570004,134928567265317489789645231896754123421863975357291846942136758573489612618572394
701020080000010004090305000009800240160070000520904030000002090083106507050407608,741629385235718964896345172379851246164273859528964731617582493483196527952437618
800000960070590003003208015002304008001082000006000470040009300030051020500820609,825137964174596283963248715752364198491782536386915472248679351639451827517823649
290000000104050680000048903901874000006000050803020100075010004600000230080039006,298763541134952687567148923951874362726391458843625179375216894619487235482539716
001405000780031050000080009027800010040000620690200570004007300503690240010003800,931465782782931456456782139327856914145379628698214573864127395573698241219543867
047000090005200816120056400000008007591004300803001000000639500200470008309080060,647813295935247816128956473462398157591764382873521649784639521216475938359182764
910080030046290100000007004000300051120040869654000020370500080000600003002901740,917486532546293178238157694789362451123745869654819327371524986495678213862931745
000470800200905410000000030701000380045007900680030025000009106093042070504080000,916473852238965417457218639721596384345827961689134725872359146193642578564781293
034021560100800000600070300500010090068009000002700634087006002200500403001094800,834921567175863249629475381543612798768349125912758634487136952296587413351294876
003002050007890001006005900510060048009040700040531002080000004200109806361700020,893612457457893261126475983512967348639248715748531692985326174274159836361784529
000380109012095300060200008059000230406020070700040900301907600080604000000000051,574386129812495367963271548159768234436129875728543916341957682285614793697832451
408020106060409520090008037700300015003040000020657900910000080504013000076000200,438725196167439528295168437749382615653941872821657943912576384584213769376894251
073082001052009300400050970090760108028300006001200000500000000869030040037000510,973482651152679384486153972395764128728315496641298735514927863869531247237846519
001307005000000098907406102400205003030000609082100040000902304208670000500014070,821397465364521798957486132479265813135748629682139547716952384248673951593814276
020400017050000463008030000009726040604890021080003050090500670700900000105060009,326459817951278463478631592519726348634895721287143956893512674762984135145367289
000013000200675003060000400000006090092000708580040132009080050305902001041030600,958413276214675983763298415137826594492351768586749132629184357375962841841537629
503960800042007090010000706000406000200003050000500103007190602400308900800000045,573961824642837591918245736135486279269713458784529163357194682426358917891672345
090000080000402030700050900609200004500870301307040000400089620030001050005030807,294367185158492736763158942689213574542876391317945268471589623836721459925634817
243705100060094005000001820700316002402000030500007900001500006600870590090000043,243785169168294375957631824789316452412958637536427918371549286624873591895162743
800510240400900000056000080075001008010004076900020030001705093080060000004103560,839516247427938651156472389675391428312854976948627135261745893583269714794183562
001530400000940006302708000580200004060003052100000870070080923800400605000095008,691532487758941236342768591587219364964873152123654879475186923839427615216395748
020304906800009050054618000308500070070403005019000000001000003700000824006872010,127354986863729451954618237348591672672483195519267348281945763795136824436872519
301002000080004002074650010960000008000021350500003407407005200000400839006010005,351792684689134572274658913963547128748921356512863497497385261125476839836219745
003802750270501000000070960630028100000000040809037500700900800054000210010043070,493862751276591483581374962635428197127659348849137526762915834354786219918243675
070000168104200050000580002030009040000600005490010830900107000006930021208065700,572394168184276359369581472631859247827643915495712836953127684746938521218465793
000000590036804200700021000000430002085009700604107089400700003107000000290605108,812376594536894217749521836971438652385269741624157389458712963167983425293645178
037021800000080900600000423159000007004600002200710500005034086080005310020960004,937421865542386971618597423159842637874653192263719548795134286486275319321968754
010004078704900006000013000580000201091065830400120009600007000000290500839040060,312654978754982316968713425586379241291465837473128659625837194147296583839541762
209000340040000001607005089170540600030820000005003090058310020000002570406007800,289761345543298761617435289172549638934826157865173492758314926391682574426957813
050002034000706900800310600003000010027083400009070250060900720900065008000140060,756892134314756982892314675543629817127583496689471253465938721971265348238147569
007300850500082609080150004300400076010098000420000510000206000030010400160907003,297364851541782639683159724358421976716598342429673518874236195932815467165947283
543000000000700900900680150001500042307001000458032010800120009060004000000096730,543219876186745923972683154691578342327461598458932617835127469769354281214896735
070000005206007010003094080000859300050020600001006204400000102732100009089300060,978613425246587913513294786624859371357421698891736254465978132732165849189342567
000630090204005070130000040009150004080960200500207060060002057008400001700091300,875634192294815673136729548629158734487963215513247869961382457358476921742591386
900106005020839000804070300001050090032001607006000084000300040007002910060097002,973146825625839471814275369781654293432981657596723184259318746347562918168497532
047052000000900070102000003200400800503006091098007650600013700000800019004720580,947352168836941275152678943261495837573286491498137652689513724725864319314729586
000701006015000000784900002190048060000300240072010090300560700027000085500809300,239781456615423978784956132193248567856397241472615893348562719927134685561879324
009040601070000050013600008908002000300075040700100836004006207650008103000910004,589743621476281359213659478948362715361875942725194836194536287657428193832917564
649108050800206000050000001960000200038000040205070906007300509000709003100420860,649138752871256394352947681964513278738692145215874936487361529526789413193425867
000800000700040560563100090400300007050009002618004000000208304000060700290530180,941856273782943561563172498429385617357619842618724935176298354835461729294537186
000102008005040970900670104364009000087301020000700500230050700051008006000200390,473192658615843972928675134364529817587361429192784563239456781751938246846217395
000900803103500002002070560005719030300004000094002006800060709079080610520100004,657921843183546972942378561265719438318654297794832156831465729479283615526197384
003000500075361020080070040002053070006804013100690004090080100001002090300500406,213948567475361829689275341942153678756824913138697254594786132861432795327519486
096380005050001003000074080700010038009000104063700090014060200905023060008009040,496382715857691423231574986742915638589236174163748592314867259975423861628159347
004039007000604000513082060071800504040070020020003080690000008007000300008100952,264539817789614235513782469371826594845971623926453781692345178157298346438167952
407200500085007032000409060002030805001800000600010924856000040020000007170900306,467283591985167432213459768792634815541892673638715924856371249329546187174928356
108000046000205900000800001030000500502394070040007029600501007709480630085009010,158973246476215983293846751937128564562394178841657329624531897719482635385769412
100040500953060004008970000200510670007008003000000120060400900080650210500327006,176843592953162784428975361239514678617298453845736129762481935384659217591327846
000209008040000769680100500300010007576000980000005230002403000053870002090600014,735269148241538769689147523328916457576324981914785236162493875453871692897652314
900620405032000700000803090007100206800040910090035000280007040056010080013900607,978621435132594768564873192347189256825746913691235874289367541756412389413958627
040007502021000003003005680200090014107060850090300000300070020400800906006009408,648137592521986743973245681265798314137462859894351267389674125452813976716529438
083000120000203050400010060098020400640309700005001200009640083030000000206807001,583964127961273854427518369198726435642359718375481296719642583834195672256837941
060305009040000571102000600201030000005000804830076090006084300907000020080107050,768315249349862571152749683291438765675291834834576192526984317917653428483127956
014300020005006009000700810000000260100280745500040081027100000609020030830907050,714398526285416379396752814948571263163289745572643981427135698659824137831967452
009080040200000008000604501380700004067005000500003012050100096400038070070200403,619582347245371968738694521382719654167425839594863712853147296426938175971256483
002003080400280007050006091900065100140020760000700800000890025300104600570000004,792513486461289537853476291987365142145928763236741859614897325329154678578632914
300000002802901670090700805005002004601074200009608000010045000070800001064300950,357486192842951673196723845785192364631574289429638517918245736573869421264317958
906073000580000400030002001050089600008200503400610700820700050040000309000196008,916473825582961437734852961257389614168247593493615782829734156641528379375196248
500012480000900000006080027080093260000800000432705100060000970027300014014009506,573612489248937651196584327781493265659821743432765198365148972927356814814279536
004000602560200840000009005010054029092380000000001470000832701600100000800746903,134578692569213847287469135718654329492387516356921478945832761673195284821746953
400056030010903800500040020000008000020305087009071460680704095200010300073000100,492856731716923854538147629367498512124365987859271463681734295245619378973582146
008500300570000090000200106090360002084005009700018543040076000000093201960000780,618549327572631498439287156195364872384725619726918543241876935857493261963152784
863027000050100840009050000000940010520001007930500200046000920000038400287090500,863427159752169843419853762678942315524381697931576284346715928195238476287694531
005004800060070210700103000800602400030800190904500080003000075609028040417009000,195264837368975214742183569871692453536847192924531786283416975659728341417359628
000000490030006027107003500602045070040618009090007000009200735380004000001500060,856172493934856127127493586612945378743618259598327641469281735385764912271539864
100020900590100704006000500608000007073890000000403206309050820027001003805600000,134527968592168734786349512648215397273896145951473286369754821427981653815632479
000004603050760001410085000000610902863420000020007000035070280702000010084001390,278194653359762841416385729547618932863429175921537468135976284792843516684251397
004003080100670302700020000200068700001390500090500218003705004080000951002409600,624953187158674392739821465245168739871392546396547218963715824487236951512489673
000800700029000510035420009010007006092004070480360100006150307000009468000200000,164895732829673514735421689513987246692514873487362195946158327251739468378246951
050730100020860304760091050070204008090000005301000400000670000040009063012500089,458732196129865374763491852576214938294387615381956427935678241847129563612543789
490107300087002009000050060100600802500300000009040070050700043806020910002014005,495167328687432159213859764174695832528371496369248571951786243846523917732914685
001005700720806003309000180000640800800020004065001070008703950100000030070094020,681935742724816593359472186932647815817529364465381279248763951196258437573194628
010403009506000080009780052032004000960000400000021703800030260007500001000067805,218453679576912384349786152732894516961375428485621793854139267627548931193267845
010009600006700019280005403100400290007063008005000006630001020402350000000048007,714839652356724819289615473163487295927563148845192736638971524472356981591248367
430700080020065103000089540700940000251803600006200030104000057000000800060107009,435712986829465173617389542783946215251873694946251738194628357372594861568137429
006000008070004600130609042019000030020350080080702005090500716400020003703080900,946215378275834691138679542519468237627351489384792165892543716461927853753186924
030200570000300040901047008002003087080600000056010239800020400400098005017005006,634289571578361942921547368142953687389672154756814239895726413463198725217435896
240009000053008021007060805000034008030900704190000600700016003001200406000070200,248159367653748921917362845572634198836921754194587632729416583381295476465873219
078009050500607042900310008090704080300000000846002130000000520130006070060928000,678249351513687942924315768291734685357861294846592137489173526132456879765928413
061400900802500047500609000980007020200930780010050003700004100009080260026001005,361478952892513647574629318983147526245936781617852493758264139139785264426391875
000073000180200590430000006010062750000508030200400900090030610645100020370000089,526973841187246593439851276918362754764598132253417968892734615645189327371625489
507020400008006010302894600800009500150600708003100006470008950000007020209040000,567321489948756312312894675826479531154632798793185246471268953635917824289543167
059800470001003020600007100010000050020068000004102908300605740070300080060094032,259816473741953826683247195816439257927568314534172968392685741475321689168794532
050028010070901040000034729002305400708000500300400976800603000500000000094210300,459728613273961845186534729962375481748196532315482976827653194531849267694217358
206709013409006070050004800803000500100623000004100000000570392700008000001940006,286759413419836275357214869863497521175623948924185637648571392792368154531942786
050390700784050002006200010000016098490000350028000000210070080060009540007803009,152398764784651932936247815375416298491782356628935471219574683863129547547863129
082007000000500942095103000000060075061004280079001030026040000814072300000000007,682497513137586942495123768348269175561734289279851634726345891814972356953618427
090806350200900100085000700600052904030401000000090070760018000100207589002040000,491876352276935148385124796618752934937481265524693871769518423143267589852349617
093705600002800000000012000001020584760080001200400090000950107100000340456003920,893745612512896473647312859931627584764589231285431796328954167179268345456173928
305740000000601005040900000800009056602070001904305200470083900090010087001000630,365748129729631845148952763837129456652874391914365278476583912293416587581297634
700300000901070064560004209010000005027800010090640820004709601008005000000210503,742396158981572364563184279816927435427853916395641827254739681138465792679218543
206008001140700309090050026002000004503401000060370800078009140050087600009600500,236948751145726389897153426712865934583491267964372815678539142451287693329614578
060005890090000210501070060002401500035002000004009008000200004806500130217003009,463125897798364215521978463982431576635782941174659328359216784846597132217843659
400010020502600704703005860000008043000024901007061000036002450800090007105080200,469817325582639714713245869291758643658324971347961582936172458824596137175483296
400000091000583600800000050000000907100068400207491300302850700080100062069047000,435672891921583674876914253648325917193768425257491386312856749784139562569247138
060740000045063810302018000630005100004070029078009006100000503900280040000000007,861742935745963812392518764639425178514876329278139456127694583953287641486351297
100004800030702106846903050000600209708050030004008070900100005005000367027400000,172564893539782146846913752351647289798251634264398571983176425415829367627435918
002000809050076031003005260008700016060050700130900042005000984080040000001302000,672431859859276431413895267598724316264153798137968542325617984786549123941382675
300029004009310207000084030001000000695470000200068000103096500800002903040500061,318729654469315287527684139781253496695471328234968715173896542856142973942537861
500063017001008050690000400000057304032010800000206100008001702973080000206004090,584963217321748956697125483169857324732419865845236179458691732973582641216374598
100650370024001500060900804000460000301000700280000090659830100007000020000749050,198654372724381569563927814975468231341295786286173495659832147437516928812749653
000014000060590007508006012129000030700201080005430000000060403093008060200740100,972814356361592847548376912129687534734251689685439271817965423493128765256743198
000095001008400039720010006900150000070800190003006475081600053206040080500203000,364795821158462739729318546942157368675834192813926475481679253236541987597283614
030000190400607002006095400900003800061280050720040300150002600800400007000130940,537824196489617532216395478945763821361289754728541369154972683893456217672138945
000000010607004090520730000050008402940503006103000700000019643290000000060457008,438965217617824395529731864756198432942573186183642759875219643294386571361457928
506700000010200087200034010605073901000809003040052700850901340900605002100000000,596718234413296587278534619685473921721869453349152768857921346934685172162347895
018259063927004000000000000209700650301806070040001098035010400002000007000060580,418259763927634815563178942289743651351896274746521398835917426692485137174362589
004009061500300007031080409700650100610037005000940002068295003100408000050000200,874529361596314827231786459749652138612837945385941672468295713123478596957163284
090008300040206701001079084008000020006000579500430006360982000072064000000000050,297148365843256791651379284718695423436821579529437816365982147172564938984713652
000075038403006700010000009000380024640019000007402005529000007360008100008903500,296175438483296751715834269951387624642519873837462915529641387364758192178923546
100000000050009008704620500500080634000365020000007009006200000891000300320400761,139854276652739418784621593517982634948365127263147859476213985891576342325498761
